topic,length,AI_model,humanizer,copyleaks_AI,copyleaks_humanized,zerogpt_AI,zerogpt_humanized,sapling_AI,sapling_humanized
3,1,gemini2.5pro,UndetectableAI,100.0,100.0,100.0,27.28,99.19628449547608,99.99478023757887
3,1,gpt4.0,UndetectableAI,100.0,0.0,100.0,20.13,99.98488427480298,94.28436252054108
3,2,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,41.01,99.98488427480298,99.9708158313624
3,2,gpt4.0,UndetectableAI,100.0,100.0,100.0,29.55,99.9911985634818,99.7201672068406
3,3,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,36.23,99.99599095505688,95.65377981178365
3,3,gpt4.0,UndetectableAI,100.0,100.0,100.0,36.01,99.971793345547,92.89492171741625
4,1,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,0.0,99.99609927938964,92.42831316527648
4,1,gpt4.0,UndetectableAI,100.0,100.0,100.0,0.0,99.98608536797998,99.50923767239054
4,2,gemini2.5pro,UndetectableAI,100.0,100.0,100.0,0.0,99.98305876622102,99.77171726158944
4,2,gpt4.0,UndetectableAI,100.0,0.0,100.0,6.25,99.6420605306193,99.90727124048804
4,3,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,0.0,99.98822904021146,34.88965742663563
4,3,gpt4.0,UndetectableAI,100.0,100.0,100.0,0.0,99.97706111827877,86.01498810731847
5,1,gemini2.5pro,UndetectableAI,100.0,100.0,100.0,31.13,99.99863048208276,99.99003302506011
5,1,gpt4.0,UndetectableAI,100.0,100.0,100.0,24.83,99.94190801194038,99.71072848215286
5,2,gemini2.5pro,UndetectableAI,100.0,100.0,100.0,18.79,99.7468373783196,99.7711233323036
5,2,gpt4.0,UndetectableAI,100.0,100.0,100.0,29.18,99.95398333608424,99.76510374858246
5,3,gemini2.5pro,UndetectableAI,100.0,0.0,100.0,27.67,99.99419169026767,97.41876614547617
5,3,gpt4.0,UndetectableAI,100.0,100.0,99.22,18.33,99.9877738829467,98.55196955360807
1,1,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,0.0,99.99765834859248,7.9680667983161
1,1,gpt4.0,writehuman.ai,100.0,0.0,100.0,24.31,99.98557865633431,92.36015646167569
1,2,gemini2.5pro,writehuman.ai,100.0,62.0,79.21,30.58,99.98025005442368,92.70062793357056
1,2,gpt4.0,writehuman.ai,100.0,100.0,100.0,37.75,99.98737326935463,28.267409863993446
1,3,gemini2.5pro,writehuman.ai,100.0,0.0,72.07,3.97,79.53530766557417,67.44800105182578
1,3,gpt4.0,writehuman.ai,100.0,0.0,99.99,40.46,99.9904414184458,94.16761631453676
2,1,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,24.21,99.9973562392362,96.36805948198563
2,1,gpt4.0,writehuman.ai,100.0,0.0,100.0,35.44,99.99844966571072,99.98816011306224
2,2,gemini2.5pro,writehuman.ai,100.0,0.0,96.16,39.04,99.99857725170408,99.99555152549694
2,2,gpt4.0,writehuman.ai,100.0,0.0,100.0,48.63,99.99650630196363,99.97293814258204
2,3,gemini2.5pro,writehuman.ai,100.0,0.0,99.99,24.5,99.99668588068631,88.48995513768433
2,3,gpt4.0,writehuman.ai,100.0,24.4,98.61,54.7,99.9929519121748,97.533905523611
3,1,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,60.13,99.19628449547608,99.99745648739454
3,1,gpt4.0,writehuman.ai,100.0,0.0,100.0,94.58,99.98488427480298,99.98141658662344
3,2,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,24.9,99.98488427480298,74.05215332737319
3,2,gpt4.0,writehuman.ai,100.0,0.0,100.0,29.89,99.9911985634818,97.86231253430552
3,3,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,40.41,99.99599095505688,59.02729039309968
3,3,gpt4.0,writehuman.ai,100.0,66.6,100.0,42.44,99.971793345547,68.76454464407604
4,1,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,24.65,99.99609927938964,97.28255317823145
4,1,gpt4.0,writehuman.ai,100.0,0.0,100.0,0.0,99.98608536797998,90.8824776698436
4,2,gemini2.5pro,writehuman.ai,100.0,78.8,100.0,43.45,99.98305876622102,61.95855630495316
4,2,gpt4.0,writehuman.ai,100.0,0.0,100.0,23.88,99.6420605306193,48.58170773385337
4,3,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,13.07,99.98822904021146,64.3246503353679
4,3,gpt4.0,writehuman.ai,100.0,0.0,100.0,30.71,99.97706111827877,99.88102561384548
5,1,gemini2.5pro,writehuman.ai,100.0,0.0,100.0,15.99,99.99863048208276,99.88334100379016
5,1,gpt4.0,writehuman.ai,100.0,100.0,100.0,54.91,99.94190801194038,99.99336424964798
5,2,gemini2.5pro,writehuman.ai,100.0,,100.0,0.0,99.7468373783196,99.98754065522114
5,2,gpt4.0,writehuman.ai,100.0,0.0,100.0,27.6,99.95398333608424,99.92967478846202
5,3,gemini2.5pro,writehuman.ai,100.0,100.0,100.0,26.71,99.99419169026767,90.63506814814521
5,3,gpt4.0,writehuman.ai,100.0,100.0,99.22,68.55,99.9877738829467,99.04028800137567
